player_name,club,position,age,nationality,market_value_eur,contract_months_remaining,fb_player_name,fb_club,minutes_played,goals,assists,goals_per_90,assists_per_90,match_score,mins,yellow_cards,shots_per_game,pass_success_pct,aerials_won,rating,tackles_per_game,interceptions_per_game,fouls_per_game,clearances_per_game,dribbled_past_per_game,blocks_per_game,key_passes_per_game,dribbles_per_game,fouled_per_game,avg_passes_per_game,crosses_per_game,long_balls_per_game,through_balls_per_game,xg,xg_diff,xg_per_shot,position_group,is_striker,is_winger,is_attacking_mid,is_central_mid,is_cdm,is_fullback,is_goalkeeper,nationality_group,is_brazilian,is_french,is_english,is_spanish,is_german,is_argentinian,is_portuguese,is_african,is_asian,is_south_american_other
Gabriel Jesus,Arsenal FC,Centre-Forward,28,Brazil,20000000.0,15,Gabriel Jesus,Arsenal FC,313.0,2.0,0.0,0.5751,0.0,100.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,striker,1,0,0,0,0,0,0,brazilian,1,0,0,0,0,0,0,0,0,0
Robert Sánchez,Chelsea FC,Goalkeeper,28,Spain,22000000.0,51,Robert Sánchez,Chelsea FC,2434.0,0.0,1.0,0.0,0.037,100.0,2435.0,3.0,0.0,67.6,0.4,6.73,0.1,0.0,0.1,0.8,0.0,0.0,0.2,0.0,0.4,38.3,0.0,6.1,0.0,0.0,0.0,0.0,goalkeeper,0,0,0,0,0,0,1,spanish,0,0,0,1,0,0,0,0,0,0
Filip Jørgensen,Chelsea FC,Goalkeeper,23,Denmark,15000000.0,63,Filip Jørgensen,Chelsea FC,264.0,0.0,0.0,0.0,0.0,100.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,goalkeeper,0,0,0,0,0,0,1,other_europe,0,0,0,0,0,0,0,0,0,0
Trevoh Chalobah,Chelsea FC,Centre-Back,26,England,40000000.0,27,Trevoh Chalobah,Chelsea FC,2550.0,3.0,0.0,0.1059,0.0,100.0,2552.0,3.0,0.5,93.3,2.2,6.98,1.2,1.2,0.7,5.7,0.3,0.5,0.1,0.2,0.6,72.7,0.0,1.7,0.1,2.1,0.9,0.15,centre_back,0,0,0,0,0,0,0,english,0,0,1,0,0,0,0,0,0,0
Wesley Fofana,Chelsea FC,Centre-Back,25,France,28000000.0,27,Wesley Fofana,Chelsea FC,1186.0,0.0,1.0,0.0,0.0759,100.0,1188.0,3.0,0.3,92.5,3.1,6.97,0.8,1.4,1.0,5.1,0.2,0.8,0.1,0.6,0.7,48.9,0.1,1.1,0.0,0.39,-0.39,0.08,centre_back,0,0,0,0,0,0,0,french,0,1,0,0,0,0,0,0,0,0
Mamadou Sarr,Chelsea FC,Centre-Back,20,Senegal,25000000.0,87,Mamadou Sarr,Chelsea FC,92.0,0.0,0.0,0.0,0.0,100.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,centre_back,0,0,0,0,0,0,0,african,0,0,0,0,0,0,0,1,0,0
Tosin Adarabioyo,Chelsea FC,Centre-Back,28,England,18000000.0,27,Tosin Adarabioyo,Chelsea FC,737.0,0.0,0.0,0.0,0.0,100.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,centre_back,0,0,0,0,0,0,0,english,0,0,1,0,0,0,0,0,0,0
Benoît Badiashile,Chelsea FC,Centre-Back,24,France,18000000.0,51,Benoît Badiashile,Chelsea FC,471.0,0.0,0.0,0.0,0.0,100.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,centre_back,0,0,0,0,0,0,0,french,0,1,0,0,0,0,0,0,0,0
Marc Cucurella,Chelsea FC,Left-Back,27,Spain,50000000.0,27,Marc Cucurella,Chelsea FC,1987.0,1.0,3.0,0.0453,0.1359,100.0,1991.0,5.0,0.6,87.6,1.3,6.86,1.7,0.8,1.3,2.9,0.6,0.2,1.2,0.0,0.8,44.7,0.3,1.5,0.0,1.39,-0.39,0.09,fullback,0,0,0,0,0,1,0,spanish,0,0,0,1,0,0,0,0,0,0
Jorrel Hato,Chelsea FC,Left-Back,20,Netherlands,35000000.0,27,Jorrel Hato,Chelsea FC,557.0,0.0,0.0,0.0,0.0,100.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fullback,0,0,0,0,0,1,0,other_europe,0,0,0,0,0,0,0,0,0,0
Reece James,Chelsea FC,Right-Back,26,England,60000000.0,75,Reece James,Chelsea FC,1896.0,2.0,4.0,0.0949,0.1899,100.0,1897.0,4.0,0.8,89.0,1.1,6.96,1.7,1.2,1.0,1.4,0.4,0.2,1.0,0.4,0.7,47.1,1.1,2.1,0.0,1.25,0.75,0.06,fullback,0,0,0,0,0,1,0,english,0,0,1,0,0,0,0,0,0,0
Malo Gusto,Chelsea FC,Right-Back,22,France,35000000.0,51,Malo Gusto,Chelsea FC,1696.0,2.0,3.0,0.1061,0.1592,100.0,1701.0,2.0,0.4,87.2,0.4,6.61,1.6,0.9,0.6,1.0,0.6,0.1,0.7,0.4,0.5,36.1,0.2,1.0,0.1,1.53,0.47,0.14,fullback,0,0,0,0,0,1,0,french,0,1,0,0,0,0,0,0,0,0
Josh Acheampong,Chelsea FC,Right-Back,19,England,25000000.0,39,Josh Acheampong,Chelsea FC,573.0,1.0,0.0,0.1571,0.0,100.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fullback,0,0,0,0,0,1,0,english,0,0,1,0,0,0,0,0,0,0
Moisés Caicedo,Chelsea FC,Defensive Midfield,24,Ecuador,110000000.0,63,Moisés Caicedo,Chelsea FC,2104.0,3.0,1.0,0.1283,0.0428,100.0,2107.0,9.0,0.8,92.2,0.5,6.98,2.9,2.0,1.6,0.8,0.9,0.6,0.5,0.4,1.5,60.0,0.1,1.8,0.1,1.62,1.38,0.08,cdm,0,0,0,0,1,0,0,south_american_other,0,0,0,0,0,0,0,0,0,1
Roméo Lavia,Chelsea FC,Defensive Midfield,22,Belgium,25000000.0,51,Roméo Lavia,Chelsea FC,170.0,0.0,0.0,0.0,0.0,100.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cdm,0,0,0,0,1,0,0,other_europe,0,0,0,0,0,0,0,0,0,0
