player_name,club,age,position,position_group_ws,apps,minutes_played,goals,assists,goals_per_90,assists_per_90,yellow_cards,shots_per_game,pass_success_pct,aerials_won,rating,tackles_per_game,interceptions_per_game,fouls_per_game,clearances_per_game,dribbled_past_per_game,blocks_per_game,key_passes_per_game,dribbles_per_game,fouled_per_game,avg_passes_per_game,crosses_per_game,long_balls_per_game,through_balls_per_game,xg,xg_diff,xg_per_shot,nationality,position_tm,contract_months_remaining,market_value_eur,position_group,is_striker,is_winger,is_attacking_mid,is_central_mid,is_cdm,is_fullback,is_goalkeeper,nationality_group,is_brazilian,is_french,is_english,is_spanish,is_german,is_argentinian,is_portuguese,is_african,is_asian,is_south_american_other
Alejandro Garnacho,Man Utd,21,AM(CLR),attacking_mid,36.0,2196.0,6.0,2.0,0.2459,0.082,3.0,2.3,83.3,0.1,6.52,0.8,0.4,0.3,0.3,0.7,0.0,1.0,0.7,1.2,20.8,0.3,0.5,0.0,9.13,-3.13,0.11,Argentina,Left Winger,18,45000000.0,winger,0,1,0,0,0,0,0,argentinian,0,0,0,0,0,1,0,0,0,0
Vitaly Janelt,Brentford,27,DMC,cdm,32.0,2267.0,1.0,3.0,0.0397,0.1191,3.0,0.4,84.4,0.6,6.51,1.2,0.8,0.8,1.5,0.5,0.3,0.5,0.1,0.5,31.7,0.3,1.5,0.1,0.75,0.25,0.05,Germany,Defensive Midfield,18,20000000.0,cdm,0,0,0,0,1,0,0,german,0,0,0,0,1,0,0,0,0,0
Calvin Bassey,Fulham,26,D(CL),centre_back,35.0,3074.0,1.0,0.0,0.0293,0.0,7.0,0.4,90.1,1.3,6.51,1.5,0.6,0.7,3.2,0.3,0.5,0.1,0.4,0.9,61.1,0.0,2.5,0.0,1.3,-0.3,0.09,Nigeria,Centre-Back,18,25000000.0,centre_back,0,0,0,0,0,0,0,african,0,0,0,0,0,0,0,1,0,0
Abdoulaye Doucouré,Everton,33,M(C),central_mid,33.0,2577.0,3.0,2.0,0.1048,0.0698,3.0,0.9,82.7,0.9,6.51,1.5,0.3,1.5,0.6,0.9,0.2,0.8,0.7,0.2,26.5,0.0,0.7,0.0,3.99,-0.99,0.13,Mali,Attacking Midfield,18,7000000.0,attacking_mid,0,0,1,0,0,0,0,african,0,0,0,0,0,0,0,1,0,0
Curtis Jones,Liverpool,25,M(CL),central_mid,33.0,1715.0,3.0,3.0,0.1574,0.1574,1.0,1.0,93.7,0.4,6.51,1.2,0.2,0.5,0.2,0.3,0.3,0.7,0.4,0.8,32.1,0.0,0.7,0.1,4.99,-1.99,0.15,England,Central Midfield,18,45000000.0,central_mid,0,0,0,1,0,0,0,english,0,0,1,0,0,0,0,0,0,0
Dominic Calvert-Lewin,Everton,29,FW,striker,26.0,1614.0,3.0,1.0,0.1673,0.0558,2.0,1.9,63.5,3.3,6.51,0.3,0.3,1.0,0.9,0.2,0.1,0.3,0.4,0.9,10.8,0.0,0.1,0.0,8.67,-5.67,0.17,England,Centre-Forward,18,16000000.0,striker,1,0,0,0,0,0,0,english,0,0,1,0,0,0,0,0,0,0
Andreas Pereira,Fulham,30,M(CLR),central_mid,33.0,2025.0,2.0,4.0,0.0889,0.1778,8.0,1.2,77.7,0.4,6.51,0.7,0.2,0.8,0.5,1.0,0.1,1.7,0.4,0.7,23.8,1.5,1.1,0.1,3.91,-1.91,0.1,Brazil,Central Midfield,18,18000000.0,central_mid,0,0,0,1,0,0,0,brazilian,1,0,0,0,0,0,0,0,0,0
Sander Berge,Fulham,28,M(C),central_mid,31.0,2231.0,0.0,0.0,0.0,0.0,6.0,0.1,91.7,0.9,6.5,1.6,0.7,1.0,1.2,0.4,0.3,0.6,0.4,0.3,38.4,0.0,1.9,0.1,0.5,-0.5,0.17,Norway,Defensive Midfield,18,25000000.0,cdm,0,0,0,0,1,0,0,other_europe,0,0,0,0,0,0,0,0,0,0
Will Hughes,Crystal Palace,30,M(CLR),central_mid,33.0,2122.0,0.0,3.0,0.0,0.1272,11.0,0.7,81.0,0.6,6.49,2.0,0.7,2.0,0.8,1.0,0.4,1.0,0.2,0.9,27.0,0.5,0.7,0.0,1.02,-1.02,0.05,England,Central Midfield,18,7000000.0,central_mid,0,0,0,1,0,0,0,english,0,0,1,0,0,0,0,0,0,0
Jean-Ricner Bellegarde,Wolves,27,M(CLR),central_mid,35.0,1685.0,2.0,7.0,0.1068,0.3739,3.0,0.6,83.3,0.3,6.48,1.1,0.3,0.9,0.5,0.2,0.1,0.8,0.4,1.3,15.7,0.4,0.4,0.1,1.83,0.17,0.08,Haiti,Central Midfield,18,18000000.0,central_mid,0,0,0,1,0,0,0,other_europe,0,0,0,0,0,0,0,0,0,0
