player_name,club,age,position,position_group_ws,apps,minutes_played,goals,assists,goals_per_90,assists_per_90,yellow_cards,shots_per_game,pass_success_pct,aerials_won,rating,tackles_per_game,interceptions_per_game,fouls_per_game,clearances_per_game,dribbled_past_per_game,blocks_per_game,key_passes_per_game,dribbles_per_game,fouled_per_game,avg_passes_per_game,crosses_per_game,long_balls_per_game,through_balls_per_game,xg,xg_diff,xg_per_shot,market_value_eur,nationality,position_tm,contract_months_remaining,tm_match_score
Marc Cucurella,Chelsea,27,M(L),winger,36.0,2991.0,5.0,1.0,0.1505,0.0301,8.0,0.7,88.7,0.9,6.68,1.9,0.8,1.0,2.2,0.8,0.4,0.5,0.1,1.1,45.4,0.1,1.2,0.1,3.09,1.91,0.13,50000000.0,Spain,Left-Back,,100.0
Harry Maguire,Man Utd,33,D(C),centre_back,27.0,1758.0,1.0,0.0,0.0512,0.0,7.0,0.6,86.1,2.4,6.68,1.1,1.5,0.7,2.9,0.2,0.4,0.3,0.1,0.4,41.4,0.0,2.1,0.0,2.54,-1.54,0.17,10000000.0,England,Centre-Back,,100.0
Tino Livramento,Newcastle,23,D(LR),fullback,37.0,2842.0,0.0,1.0,0.0,0.0317,1.0,0.2,87.4,0.7,6.68,1.5,0.6,0.2,2.5,0.7,0.3,0.7,0.7,0.9,36.6,0.3,0.6,0.0,0.38,-0.38,0.06,40000000.0,England,Right-Back,,100.0
Dean Henderson,Crystal Palace,29,GK,goalkeeper,38.0,3420.0,0.0,0.0,0.0,0.0,3.0,0.0,57.4,0.3,6.6,0.1,0.0,0.0,1.1,0.1,0.0,0.1,0.0,0.1,28.9,0.0,4.6,0.0,0.03,-0.03,0.03,28000000.0,England,Goalkeeper,,100.0
Adama Traoré,Fulham,30,FW,striker,36.0,1770.0,2.0,7.0,0.1017,0.3559,3.0,1.1,81.2,0.7,6.59,0.6,0.0,0.7,0.1,0.2,0.0,1.2,1.3,0.9,13.4,0.8,0.3,0.0,5.27,-3.27,0.14,8000000.0,Spain,Right Winger,,100.0
Yasin Ayari,Brighton,22,M(C),central_mid,34.0,1971.0,2.0,1.0,0.0913,0.0457,4.0,0.8,85.4,0.5,6.59,1.7,0.6,1.1,0.7,0.9,0.2,0.9,0.5,0.8,26.5,0.6,0.4,0.0,2.39,-0.39,0.09,30000000.0,Sweden,Central Midfield,,100.0
Mats Wieffer,Brighton,26,DMC,cdm,25.0,1008.0,1.0,4.0,0.0893,0.3571,6.0,0.4,86.4,1.4,6.58,2.3,0.7,0.9,1.0,0.6,0.1,0.6,0.3,0.4,25.9,0.1,0.8,0.0,1.2,-0.2,0.13,25000000.0,Netherlands,Defensive Midfield,,100.0
James Justin,Leicester,28,M(LR),winger,36.0,2921.0,2.0,2.0,0.0616,0.0616,6.0,0.7,78.1,1.9,6.58,1.6,1.3,0.8,3.2,0.6,0.5,0.4,0.3,1.2,34.3,0.3,0.9,0.0,2.05,-0.05,0.08,12000000.0,England,Right-Back,,100.0
Manuel Ugarte,Man Utd,24,DMC,cdm,29.0,1790.0,1.0,2.0,0.0503,0.1006,11.0,0.7,88.6,0.6,6.57,2.7,0.9,1.4,0.5,1.3,0.1,0.3,0.6,1.1,30.9,0.1,1.3,0.0,0.98,0.02,0.05,30000000.0,Uruguay,Defensive Midfield,,100.0
Rodrigo Muniz,Fulham,24,FW,striker,31.0,952.0,8.0,1.0,0.7563,0.0945,1.0,1.3,65.7,2.2,6.56,0.3,0.2,0.4,0.5,0.0,0.1,0.2,0.2,1.0,4.5,0.0,0.3,0.0,7.18,0.82,0.18,25000000.0,Brazil,Centre-Forward,,100.0
